weightCategory,name,nation,result,date
59 kg,Takada Yuji,Japan,152.0 kg,18.05.2019
66 kg,Murota Yoichiro,Japan,155.5 kg,17.04.2017
74 kg,Fronzaglia Damian,U.S.A.,180.0 kg,14.05.2018
83 kg,Fernandez Daniel,Uruguay,186.0 kg,24.05.2024
93 kg,Cieri Dennis,U.S.A.,234.5 kg,26.10.2018
105 kg,Brown Leon,Canada,227.5 kg,27.10.2017
120 kg,Lane Horace,U.S.A.,240.0 kg,19.04.2017
120+ kg,Demidenko Konstantin,Kazakhstan,238.0 kg,28.09.2024
